UniqueID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Stub
B16004_031,45.74040085993397,57.61401966593016,144.59732389170466,86.63566082130303,169.05867702216278,54.73915421270187,35.01226249802233,92.31043469443173,133.9653726599977,279.1058707346498,Speak other Indo-European languages:
B16004_036,29.47512715653423,28.011707651958428,140.19693125057594,105.36961685343103,171.90450347982224,86.74106384930344,13.087569097229112,95.14188583694502,142.44892645495156,259.46723361879435,Speak Asian and Pacific Island languages:
B16004_041,64.31589775075864,101.6721338137087,80.58830125323135,83.42114682825374,252.05532741118319,106.92197030273738,24.576361073487917,74.8015111187686,127.17109572399245,184.52683321715077,Speak other languages:
B16004_053,67.30685432807249,48.06729663440289,164.06736232339497,77.34310351924098,125.80739896246402,45.81032463538422,53.26969115946557,121.0094989132369,136.91009523757663,229.63136908074154,Speak other Indo-European languages:
B16004_058,25.53533237498735,23.16136653264391,155.25822260878797,105.27497453993335,160.60031163658005,97.86163450832815,15.609454707084765,122.41868658705921,129.77992160981543,234.7174546644157,Speak Asian and Pacific Island languages:
B16004_063,84.02355860824616,72.70640116404866,121.75067984429488,79.46922757349303,151.80392395027937,119.80062855700129,44.55762990530393,97.95480934737117,121.00573021599033,178.58675574695093,Speak other languages:
B19001_002,151.7199249393889,262.7724526967312,24.6195022841107,37.73288011715003,235.9275260751995,103.78929681954192,97.48072527719,52.67923194607567,83.78664823468847,100.71721185026294,"Less than $10,000"
B19001_003,181.04239730824924,221.08734761665136,19.80469547146478,33.17894206449011,217.07010805820963,110.03103434738546,112.70607354677522,55.76843263363613,80.25872477654484,85.73758410741506,"$10,000 to $14,999"
B19001_004,172.28422855356396,196.2135190450727,22.85353950539461,39.03458400685318,182.35517113906812,113.15384312548696,120.60451178460465,69.46295020249912,89.42918294133622,78.19969445828826,"$15,000 to $19,999"
B19001_005,162.16488954432214,166.969744190353,27.15902567537844,45.16365977839709,169.68802885245836,115.36463656539682,121.18701095742325,77.30129532705948,96.56448854399942,77.6371883094675,"$20,000 to $24,999"
B19001_006,156.41707943769248,156.61275566585974,30.36542592024173,51.36801888485179,157.08770262019053,112.06092126775586,122.12312690086968,81.983697511983,100.06704756363447,77.90601260772033,"$25,000 to $29,999"
B19001_007,148.87119524725486,141.17424547607266,32.008227921221156,57.10850661576256,150.96975358768242,111.0597754586043,120.79394716402629,87.72271263085709,104.04894710020048,79.2916298360889,"$30,000 to $34,999"
