GEOID,cluster
010872319002,2
010872319001,2
010872321002,2
010872318001,2
010872318002,2
010479563001,2
010330210004,7
010330210001,7
010379612002,7
010379611001,7
010379611003,7
010970034073,7
010970034071,7
010970041001,2
010970052002,1
010970063021,4
010970064023,7
010970064021,2
010970069021,6
010970070001,7
010150024001,7
010150018005,7
010150018006,7
010150018002,8
010150011003,8
010150011002,4
010150022004,1
010150022001,7
010179547003,1
010179547002,7
010179547001,2
010179540004,1
010479561005,7
010479561002,4
010479561004,7
010479561003,7
010479561001,7
010479571002,7
010479571001,7
010479570001,7
010479573003,2
010479573001,7
010479573004,2
010150025023,7
010150025024,7
010150025021,7
010150005001,2
010150005002,2
010670302002,1
010670302003,7
010670301002,7
010670306001,7
010670306002,7
010670304002,7
010890003012,2
010890003014,2
010890003011,2
010890103012,7
010890108003,4
010890108004,4
010890108001,4
010010201002,4
010010205001,9
010010204003,8
010010204001,8
010010204002,4
010010206001,8
010010207001,7
010010207002,8
010010211003,7
010550111002,7
010499606002,7
010499606001,7
010499606004,7
010499602001,7
010499602003,7
010499611002,1
010499611003,6
010499604001,7
011030057024,7
011030057022,7
011030051072,7
010950302013,7
010950302011,7
010139531003,7
010139531001,2
